Type	Abbreviation	Variable	IssueCategory	PolicyObjective	Weight	Description
EPI	EPI	Environmental Performance Index				"The 2024 EPI combines 58 indicators across 11 issue categories, ranging from climate change mitigation and air pollution to waste management, sustainability of fisheries and agriculture, deforestation, and biodiversity protection."
PolicyObjective	ECO	Ecosystem Vitality			45.00%	"The Ecosystem Vitality policy objective measures how well countries are preserving, protecting, and enhancing ecosystems and the services they provide. It comprises 45% of the total EPI score and is made up of six issue categories: Biodiversity & Habitat, Forests, Fisheries, Air Pollution, Agriculture, and Water Resources."
IssueCategory	BDH	Biodiversity & Habitat		Ecosystem Vitality	25.00%	"The Biodiversity and Habitat issue category assesses countries’ actions toward retaining natural ecosystems and protecting the full range of biodiversity within their borders. It consists of 12 indicators: protection of marine key biodiversity areas, protection of important marine and coastal habitats, stringency of marine protection, Protected Areas Representativeness Index, Species Habitat Index, Species Protection Index, terrestrial biome protection, protection of terrestrial key biodiversity areas, protected area effectiveness, cropland and building inside protected areas, Red List Index, Species Habitat Index, and Bioclimatic Ecosystem Resilience Index."
Indicator	MKP	Marine KBA Protection	Biodiversity & Habitat	Ecosystem Vitality	3.00%	"Percentage of area designated as ""Key Biodiversity Areas"" (KBA) within a country's exclusive economic zone(s) that is covered by marine protected areas. Marine Protected Area data comes from the March 2024 release of the World Database on Protected Areas (https://www.protectedplanet.net/en/thematic-areas/wdpa?tab=WDPA). Data on KBAs, compiled by BirdLife International in partnership with other major conservation organizations, is available at: https://www.keybiodiversityareas.org/ "
Indicator	MHP	Marine Habitat Protection	Biodiversity & Habitat	Ecosystem Vitality	3.00%	"Percentage of important marine and coastal habitats -- coral reefs, cold-water corals, sea grasses, salt marshes, mangroves, knolls, and seamounts -- within a country's exclusive economic zone(s) that is covered by marine protected areas. "
Indicator	MPE	Marine Protection Stringency	Biodiversity & Habitat	Ecosystem Vitality	0.50%	"This pilot indicator estimates the stringency of marine protected areas (MPAs) by comparing total fishing effort on a given year inside versus outside MPAs within a country's exclusive economic zone(s). A score of 100 indicates that fishing efforts inside a country's MPAs is 1% or less than the fishing effort outside MPAs, and a score of 0 indicates that fishing effort inside MPAs is 100 times more intense than outside. Fishing effort data, from Global Fishing Watch, is based on satellite tracking of fishing boats."
Indicator	PAR	Protected Areas Representativeness Index	Biodiversity & Habitat	Ecosystem Vitality	3.00%	"The Protected Areas Representativeness Index (PARI) indicator measures how well terrestrial protected areas represent the ecological diversity of a country. This metric is calculated by CSIRO (https://geobon.org/ebvs/indicators/protected-area-representatives-connectedness-indices/) using high-resolution remote sensing data and biological records of species' locations. A score of 100 indicates that a country's terrestrial protected areas nearly perfectly represent the country's ecosystem diversity, and a score of 0 indicates very low representativeness (≤5th-percentile of PARI values)."
Indicator	SPI	Species Protection Index	Biodiversity & Habitat	Ecosystem Vitality	4.00%	"The Species Protection Index (SPI) measures how well a country's terrestrial protected areas overlap with the ranges of its vertebrate, invertebrate, and plant species. Map of Life calculates this index using remote sensing data, global biodiversity informatics, and integrative models to map suitable habitat for over 30,000 terrestrial species at high resolutions. A score of 100 indicates full coverage of all species' ranges by a country's protected areas, and a score of 0 indicates no overlap."
Indicator	TBN	Terrestrial Biome Protection (national weights)	Biodiversity & Habitat	Ecosystem Vitality	2.50%	"We derive the terrestrial biome protection indicator by first calculating the proportion of each biome in a country that lies within a protected area. We then give greater weight to biomes that are relatively rare within a country – and less weight to prevalent biomes – before aggregating the proportions. A score of 100 indicates that a country protects at least 30% of each of its biome types, corresponding to Aichi Target 11 of the Convention on Biological Diversity. Data for this indicator come from the World Database on Protected Areas. "
Indicator	TKP	Terrestrial KBA Protection	Biodiversity & Habitat	Ecosystem Vitality	2.50%	"Percentage of area designated as ""Key Biodiversity Areas"" (KBA) within a country's territory that is covered by protected areas. Protected Area data comes from the March 2024 release of the World Database on Protected Areas (https://www.protectedplanet.net/en/thematic-areas/wdpa?tab=WDPA). Data on KBAs, compiled by BirdLife International in partnership with other major conservation organizations, is available at: https://www.keybiodiversityareas.org/ "
